location,roles
Coal Mine,"Miner,Foreman,Safety Inspector,Geologist,Equipment Mechanic,Journalist"
Library,"Librarian,Archivist,Student,Researcher,Security Guard,Book Club Member"
Service Station,"Attendant,Cashier,Mechanic,Truck Driver,Customer,Manager"
Bowling Alley,"League Bowler,Bartender,Shoe Rental Clerk,Manager,Party Guest,Maintenance Staff"
Zoo,"Zookeeper,Veterinarian,Ticket Seller,Photographer,Visitor,Animal Researcher,Monkey"
Ocean Liner,"Captain,Cruise Director,Bartender,Tourist,Chef,Engineer"
Theater,"Actor,Director,Usher,Stagehand,Critic,Ticket Clerk"
Amusement Park,"Ride Operator,Mascot Performer,Teen Guest,Security Guard,Vendor,Manager"
Restaurant,"Chef,Waiter,Host,Food Critic,Dishwasher,Customer"
Passenger Train,"Conductor,Engineer,Passenger,Ticket Inspector,Snack Vendor,Rail Police"
Art Gallery,"Artist,Curator,Collector,Security Guard,Art Student,Critic"
Beach,"Lifeguard,Surfer,Tourist,Ice Cream Vendor,Fisher,Photographer"
School,"Teacher,Student,Principal,Janitor,School Nurse,Parent"
Space Station,"Commander,Engineer,Scientist,Doctor,Pilot,Tourist"
Casino,"Dealer,Pit Boss,Gambler,Bartender,Security Guard,High Roller"
Circus,"Ringmaster,Acrobat,Clown,Animal Trainer,Ticket Taker,Kid Visitor"
Ice Hockey Stadium,"Player,Coach,Referee,Fan,Vendor,Security Guard"
Movie Studio,"Director,Actor,Camera Operator,Producer,Makeup Artist,Stunt Coordinator"
Vineyard,"Winemaker,Grape Picker,Sommelier,Tourist,Owner,Distributor"
Police Station,"Detective,Patrol Officer,Dispatcher,Chief,Journalist,Suspect"
Stadium,"Athlete,Coach,Referee,Fan,Vendor,Security Guard"
Bank,"Teller,Manager,Loan Officer,Customer,Security Guard,Auditor"
Supermarket,"Cashier,Stocker,Manager,Customer,Security Guard,Delivery Driver"
Pirate Ship,"Captain,First Mate,Deckhand,Prisoner,Navigator,Cook"
Polar Station,"Scientist,Engineer,Doctor,Cook,Supply Officer,Visitor"
Military Base,"Soldier,Officer,Mechanic,Medic,Cook,Recruit,Sergeant"
Embassy,"Ambassador,Diplomat,Security Guard,Journalist,Translator,Visitor"
Wedding,"Bride/Groom,Best Man,Maid of Honor,Officiant,Photographer,Guest"
Hotel,"Receptionist,Housekeeper,Concierge,Guest,Security Guard,Chef"
Submarine,"Captain,Sonar Operator,Engineer,Navigator,Cook,Diver"
Taxi,"Driver,Passenger,Dispatcher,Tourist,Mechanic,Doorsman"
Shopping Mall,"Store Clerk,Shopper,Security Guard,Cleaner,Food Court Vendor,Manager"
Hospital,"Doctor,Nurse,Surgeon,Patient,Pharmacist,Administrator"
Airplane,"Pilot,Flight Attendant,Passenger,Air Marshal,Mechanic,Co-pilot"
University,"Professor,Student,Researcher,Librarian,Dean,Visitor"
Spa,"Massage Therapist,Receptionist,Client,Manager,Esthetician,Cleaner"
Fire Station,"Firefighter,Dispatcher,Fire Chief,EMT,Fire Inspector,Trainee"
Prison,"Warden,Guard,Inmate,Lawyer,Social Worker,Parole Officer"
Laboratory,"Research Scientist,Lab Technician,Principal Investigator,Safety Officer,Intern,Visitor"
Nightclub,"DJ,Bouncer,Bartender,Clubber,Manager,Photographer"
Museum,"Curator,Tour Guide,Security Guard,Visitor,Conservator,Donor"
Bakery,"Baker,Pastry Chef,Cashier,Customer,Delivery Driver,Owner"
Construction Site,"Site Manager,Crane Operator,Electrician,Architect,Inspector,Laborer"
Ferry Terminal,"Ticket Agent,Captain,Commuter,Dock Worker,Security Guard,Tourist"
Ski Resort,"Ski Instructor,Lift Operator,Snowboarder,Resort Manager,Medic,Tourist"
Mountain Cabin,"Hiker,Ranger,Cabin Owner,Lost Tourist,Photographer,Cook"
Desert Camp,"Guide,Archaeologist,Tourist,Driver,Camel Handler,Medic"
Aquarium,"Aquarist,Trainer,Ticket Clerk,Marine Biologist,Visitor,Security Guard"
Gym,"Trainer,Member,Receptionist,Cleaner,Nutrition Coach,Manager"
Courthouse,"Judge,Lawyer,Defendant,Juror,Bailiff,Clerk"
